Bait Humans,Causes the image of a fabulously large and beautiful cut diamond to float in the air before the target,latin,diamond
Blind Enemy,Either by physical attack or magical attack the spell renders the target unable to harm the cast for the next seven days,latin,bind
Breath of the Deep,His or her lungs fill with sea water drowning the target,latin,drown
Bring Pestilence,This foul spell infests its victims with dreadful diseases,latin,disease
Cause Blindness,The target suffers complete and permanent blindness as if by a stroke,latin,blindness
Circle of Nausea,Circle of nausea creates a power protective spell around the caster that will cause nausea and pain in anyone approaching it,latin,nausea
Deflect Harm,Allows the caster to negate various physical attacks,latin,block
Dominate,Bends the will of the target to the caster will,latin,obey
Find Gate,Makes apparent to the caster any Gate to or from another world or plane if it is within the caster vision,latin,see
Flesh Ward,Flesh ward grants protection against physical attack,latin,protect
Graft Flesh, Allows the caster to graft enchanted flesh to his or her body and have the flesh and its armoring effects last forever,latin,graft
Healing Spell, Heals a player hitpoints ,latin,heal
Mind Blast,The victim of this spell loses five sanity points and goes temporarily insane for a least one hour,latin,insane
Shrivelling,A powerful spell of attack,latin,attack
Spectral Razor,Creates the effect of an invisible blade which can be used to cut and slash victims,latin,blade
Ambience Sense,An instinctive sense about an area and any potential threats nearby,latin,scan
Cognitive Boost, temporarily elevate their cognitive performance,latin,smarter
Downtime,This sleight provides the async with the ability to send the mind into a fugue state regenerative downtime during which the character psyche is repaired,latin,recover
Eco Empathy, can attempt to gain an intuitive understanding of non sentient non terrestrial organisms occupying a producer niche in the local ecosystem,latin,understand
Emotion Control,Emotion Control gives the async tight control over their emotional states Unwanted emotions can be blocked out and others embraced,latin,emotion
Enhanced Creativity, more imaginative and more inclined to think outside the box,latin,creative
Filter,filter out distractions and eliminate negative situational modifiers from distraction,latin,filter
Grok,intuitively understand how any unfamiliar object vehicle or device is used simply by looking at and handling it,latin,understand
High Pain Threshold,block out ignore or otherwise isolate pain,latin,ignore
Hyperthymesia,grants the async a superior autobiographical memory allowing them to remember the most trivial of events,latin,remember
Instinct,bolsters  subconscious ability to gauge a situation and make a snap judgment that is just as accurate as a careful considered decision,latin,instinct
Multitasking,can handle vast amounts of information without overload and can perform more than one mental task at once,latin,multitask
Pattern Recognition,adept at spotting patterns and correlating the non random elements of a jumble related items jump out at them,latin,pattern
Predictive Boost,The Bayesian probability machine features of the async brain are boosted by this sleight enhancing their ability to estimate and predict outcomes of events around them as they unfold in real time and update those predictions as information changes,latin,prediction
Qualia,The async can temporarily increase their intuitive grasp of things,latin,increase
Savant Calculation,The character possesses an incredible facility with intuitive mathematics ,latin,smart
Sensory Boost,increase their natural or augmented sensory perception,latin,vision
Superior Kinesics,acquires more insight into people emotive signals gestures facial expressions and body language when it comes time to predict the person emotional state intent or reactions,latin,insight
Time Sense,slow down his perception of time making everything appear to move in slow motion or at reduced speed,latin,time
Unconscious Lead,override their consciousness and let their unconscious mind take point,latin,mind
